---
Bogennummer: '45806'
Ort: Münsingen
Gid: 18985
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-08-08 13:19:39.861642
Änderungsdatum: 2022-08-11 18:38:04.719223
...
WS1	Im Winter flüge die trochene Bletter i dr Luft ume.
WS4	Dr guet alt Ma isch dür ds Isch broche u i ds chalte Wasser gheit.
WS9	I bi bi dr Frou gsie u ha re's gseit, u si het gseit, si well's o ihrer Tochter säge.
WS10	I will's o nümme mache !
WS11	I houe dr jitz de mit em Chochlöffel um d' Ohre, du Aff !
WS19	{Eingabe zu Satz 19 hat auf der Eingabezeile von Satz 18 begonnen.} Wär het mr mi Chorb mit Fleisch gstole ?
WS20	Er het drgliiche {zunächst 'drglieche', dann 1.'e' mit 'i' überschrieben} ta, wi we si ne zum Drösche bstellt hätte; si hei's aber sälber gmacht.
WS21	Wäm het er die noui {unklar, was gemeint ist} Gschicht erzellt ?
WS24	Wo mer geschter am Abe si zrügg cho, da si die andere scho im Bett gläge u si fescht am Schlafe gsi.
WS31	I verstande euch nid, dir müesst e chli luter rede.
WS33	Si Brueder wott sich zwöi schöne n[o]ui {? unklar} Hüser i euem Garte boue. 
WS40	I bi mit de Lüte dahinge über d' Matte i ds Chorn gfahre.
