---
Bogennummer: '44610'
Ort: Wittenwil
Gid: 15490
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2026-05-29 14:00:23.300123
Änderungsdatum: 2026-05-29 14:00:23.300123
Satzversion: 1
...
WS1	Im Winter flü̱ged di trochnẹ Bletter i de Luft umenand.
WS2	Äs hört gli uf schneiẹ, denn wirds Wätter wider besser
WS3	Tuä̮ Chole in Ofe, dass d' Milch {'l' ist durchgestrichen} gli afangt choche
WS4	De guet alt Ma ischt mit em Ross is Is iegheit {zunächst 'iä', dann 'ä' mit 'e' überschrieben} und is chalt Wasser gfale.
WS5	Er ischt vor viär oder sächs Wuche gschtorbe
WS6	S' Füür isch z' schtarch gsi, d' Chüeche sind une ganz verbrennt.
WS7	Er isst d' Eier alewill ohni Salz und Pfäffer
WS8	D' Füess tüemmer fescht weh, ich {zunächst nur 'i', dann zu 'ich' ergänzt}glaube, ich has duregfigget 
WS9	Ich bi̱ bi de Frau gsi und han er es gseit und si hät gseit, si wölls au ihrer Töchter <(ö offen)> säge.
WS10	Ich wills nüme tue̮.
WS11	Ich hauder grad mit de Chele a d' Ohre, du Aff !
WS12	Wo go̮hscht {'an' ist durchgestrichen} hịh, söled me̮r miter cho̱ ?
WS13	's sind schlächti Zite.
