---
Bogennummer: '44705'
Ort: Birsfelden
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.813633'
...
WS23	M'r sinn müed und hänn Durscht
WS24	"Wo mr gester z'obe zrugg cho si, do si diä anderä [beide End ä rot unterstrichen] scho im Bett gläge [Endung rot korrigiert ""glägä"" und End ä rot unterstrichen] u. fescht am Schlofe gsi."
WS25	Dr Schnee isch diä Nacht bi uns liege bliebe; aber hüt ä Morge isch er gschmolzä
WS26	Hinter unserem Huus stöhn drei schöni Öpfel bäumli mit rote Öpfeli.
WS27	Chönet'r nit no ä Augeblickli uff uns warte, mr göhn derno mit Euch.
WS28	D'r dörfet nit ä so Chindereie triebe.
WS29	"Unseri Bärge [Endung rot korrigiert ""Bärgä"" und End ä rot unterstrichen] sinn nit bsunders hoch, eueri sii viel höcher."
WS30	Wiäviel Pfund Wurscht u. wiäviel Brot wänd'r ha ?
WS31	"I Verstoh n ech nit, D'r müent ä bizzeli luter rede (schwätze [Endung rot korrigiert ""schwätzä"" und End ä rot unterstrichen])"
WS32	Händ'r käi Stückli wissi Säifi für mi uff miem Tisch g'fundä ?
WS33	Si Brueder will sich zwäi schöni, neui Hüüser in euerm Gartä bauä.
